"area_slug";"cam";"serial"
"27";"cam1";"DS-I21420180412AAWR204373276";
"20";"cam1";"DS-I21420180412AAWR204373352";
"3";"cam2";"DS-I21420180412AAWR204373379";
"103";"cam1";"DS-I21420180412AAWR204373124";
"6";"cam1";"DS-I21420180412AAWR204373248";
"31";"cam2";"DS-I21420180412AAWR204373285";
"3";"cam1";"DS-I21420180412AAWR204373632";
"27";"cam2";"DS-I21420180412AAWR204373261";
"tik-zhd";"cam1";"DS-I21420180412AAWR204373546";
"31";"cam1";"DS-I21420180412AAWR204373326";
"10";"cam2";"DS-I21420180412AAWR204373229";
"9";"cam1";"DS-I21420180412AAWR204373323";
"41";"cam2";"DS-I21420180616AAWR216884283";
"tik-zhd";"cam2";"DS-I21420180412AAWR204373572";
"20";"cam2";"DS-I21420180412AAWR204373325";
"9";"cam2";"DS-I21420180412AAWR204373286";
"14";"cam1";"DS-I21420180412AAWR204373235";
"14";"cam2";"DS-I21420180412AAWR204373242";
"10";"cam1";"DS-I21420180412AAWR204373241";
"38";"cam2";"DS-I21420180616AAWR216884626";
"38";"cam1";"DS-I21420180616AAWR216884091";
"30";"cam2";"DS-I21420180616AAWR216884222";
"42";"cam2";"DS-I21420180616AAWR216884244";
"44";"cam2";"DS-I21420180616AAWR216884256";
"21";"cam1";"DS-I21420180616AAWR216884520";
"52";"cam1";"DS-I21420180616AAWR216884259";
"39";"cam1";"DS-I21420180616AAWR216884494";
"7";"cam1";"DS-I21420180412AAWR204373382";
"44";"cam1";"DS-I21420180616AAWR216884171";
"22";"cam1";"DS-I21420180616AAWR216884530";
"51";"cam2";"DS-I21420180616AAWR216884178";
"7";"cam2";"DS-I21420180412AAWR204373618";
"30";"cam1";"DS-I21420180616AAWR216884421";
"43";"cam2";"DS-I21420180616AAWR216884622";
"21";"cam2";"DS-I21420180616AAWR216884664";
"6";"cam2";"DS-I21420180412AAWR204372974";
"39";"cam2";"DS-I21420180616AAWR216884180";
"43";"cam1";"DS-I21420180616AAWR216884387";
"22";"cam2";"DS-I21420180616AAWR216884239";
"37";"cam2";"DS-I21420180616AAWR216884197";
"tik-zav";"cam2";"DS-I21420180616AAWR216884058";
"48";"cam1";"DS-I21420180616AAWR216884529";
"34";"cam1";"DS-I21420180616AAWR216884491";
"50";"cam1";"DS-I21420180616AAWR216884298";
"48";"cam2";"DS-I21420180616AAWR216884080";
"42";"cam1";"DS-I21420180616AAWR216884537";
"46";"cam1";"DS-I21420180616AAWR216884226";
"46";"cam2";"DS-I21420180616AAWR216884203";
"50";"cam2";"DS-I21420180616AAWR216884532";
"51";"cam1";"DS-I21420180412AAWR204373516";
"52";"cam2";"DS-I21420180616AAWR216884181";
"41";"cam1";"DS-I21420180616AAWR216884216";
"96";"cam1";"DS-I21420180616AAWR216884168";
"tik-sev";"cam1";"DS-I21420180616AAWR216884111";
"37";"cam1";"DS-I21420180616AAWR216884212";
"tik-sev";"cam2";"DS-I21420180616AAWR216884064";
"69";"cam1";"DS-I21420180616AAWR216884081";
"69";"cam2";"DS-I21420180616AAWR216884552";
"68";"cam2";"DS-I21420180616AAWR216884486";
"47";"cam1";"DS-I21420180616AAWR216884176";
"96";"cam2";"DS-I21420180616AAWR216884484";
"68";"cam1";"DS-I21420180616AAWR216884495";
"111";"cam1";"DS-I21420180616AAWR216884044";
"tik-zav";"cam1";"DS-I21420180616AAWR216884287";
"65";"cam1";"DS-I21420180616AAWR216884236";
"113";"cam1";"DS-I21420180616AAWR216884021";
"74";"cam1";"DS-I21420180616AAWR216884243";
"73";"cam1";"DS-I21420180616AAWR216884076";
"112";"cam2";"DS-I21420180616AAWR216884496";
"112";"cam1";"DS-I21420180616AAWR216884210";
"113";"cam2";"DS-I21420180616AAWR216884493";
"111";"cam2";"DS-I21420180616AAWR216884653";
"73";"cam2";"DS-I21420180616AAWR216884344";
"74";"cam2";"DS-I21420180616AAWR216884038";
"65";"cam2";"DS-I21420180616AAWR216884481";
"47";"cam2";"DS-I21420180616AAWR216884238";
"135";"cam1";"DS-I21420180616AAWR216884479";
"135";"cam2";"DS-I21420180616AAWR216884456";
"77";"cam1";"DS-I21420180616AAWR216884604";
"77";"cam2";"DS-I21420180616AAWR216884553";
"98";"cam1";"DS-I21420180616AAWR216884139";
"98";"cam2";"DS-I21420180616AAWR216884547";
"33";"cam2";"DS-I21420180616AAWR216884583";
"33";"cam1";"DS-I21420180616AAWR216884194";
"34";"cam2";"DS-I21420180616AAWR216884090";
"78";"cam2";"DS-I21420180616AAWR216884073";
