[52.969975, 36.086304]
[52.971933, 36.08175]
[52.968239, 36.090544]
[52.968239, 36.090544]
[52.963027, 36.093257]
[52.963027, 36.093257]
[52.970777, 36.110586]
[52.978787, 36.106408]
[52.97229, 36.135083]
[52.97229, 36.135083]
[52.99557, 36.091272]
[53.004848, 36.135559]
[53.006501, 36.102528]
[53.008506, 36.103058]
[53.010418, 36.142485]
[53.010418, 36.142485]
[53.008034, 36.140365]
[53.016979, 36.14421]
[53.015755, 36.143132]
[53.008034, 36.140365]
[53.011263, 36.133268]
[53.016979, 36.14421]
[53.015755, 36.143132]
[53.011263, 36.133268]
[53.000226, 36.129037]
[53.000226, 36.129037]
[53.000226, 36.129037]
[53.008034, 36.140365]
[53.011263, 36.133268]
[52.959615, 36.063559]
[52.954147, 36.078875]
[52.94444, 36.053507]
