"geocode"
[52.969975, 36.086304];
[52.971933, 36.08175];
[52.968239, 36.090544];
[52.968239, 36.090544];
[52.963027, 36.093257];
[52.963027, 36.093257];
[52.970777, 36.110586];
[52.978787, 36.106408];
[52.97229, 36.135083];
[52.97229, 36.135083];
[52.99557, 36.091272];
[53.004848, 36.135559];
[53.006501, 36.102528];
[53.008506, 36.103058];
[53.010418, 36.142485];
[53.010418, 36.142485];
[53.008034, 36.140365];
[53.016979, 36.14421];
[53.015755, 36.143132];
[53.008034, 36.140365];
[53.011263, 36.133268];
[53.016979, 36.14421];
[53.015755, 36.143132];
[53.011263, 36.133268];
[53.000226, 36.129037];
[53.000226, 36.129037];
[53.000226, 36.129037];
[53.008034, 36.140365];
[53.011263, 36.133268];
[52.959615, 36.063559];
[52.954147, 36.078875];
[52.94444, 36.053507];
[52.9487, 36.038568];
[52.9487, 36.038568];
[52.94049, 36.041352];
[52.94444, 36.053507];
[52.94444, 36.053507];
[52.933054, 36.038972];
[52.93865, 36.037741];
[52.92888, 36.024231];
[52.927116, 36.015202];
[52.927116, 36.015202];
[52.92888, 36.024231];
[52.954147, 36.078875];
[52.93471, 36.089808];
[52.93471, 36.089808];
[52.959149, 36.072946];
[52.954722, 36.070664];
[52.933054, 36.038972];
[52.927116, 36.015202];
[52.973825, 36.06143];
[52.976113, 36.066568];
[52.983097, 36.078875];
[52.983097, 36.078875];
[52.981855, 36.084085];
[52.981855, 36.084085];
[52.987629, 36.069236];
[52.987629, 36.069236];
[52.987629, 36.069236];
[52.987781, 36.063738];
[52.966211, 36.03386];
[52.970859, 36.060513];
[52.97228, 36.051405];
[52.966211, 36.03386];
[52.968928, 36.060334];
[52.992941, 36.041784]
