"area_code","address","phone_number"
"ТИК ЖД","Орел пер. Трамвайный, д.1, каб. 14А ","+7 (4862) 55-38-72",
"3","Орел ул.Революции, д.4","+7 (4862) 55-86-73, +7 (4862) 54-36-73",
"6","Орел ул.Пушкина, д.80","+7 (4862) 55-41-67",
"7","Орел ул.Пушкина, д.80 ","+7 (4862) 55-41-67, +7 (4862) 55-14-14",
"9","Орел ул.5 Августа, д.25","+7 (4862) 54-27-32",
"10","Орел ул.5 Августа, д.25","+7 (4862) 73-59-49",
"14","Орел ул.Лесная, д.9","+7 (4862) 42-86-74",
"20","Орел ул.Орджоникидзе, д.3","+7 (4862) 55-49-10",
"21","Орел пер. Южный, д.26 ","8 919 260 10 71",
"22","Орел пер. Южный, д.26 ","+7 (4862) 55-35-90",
"27","Орел ул.Льва Толстого, д.6","+7 (4862) 46-68-73",
"ТИК СЕВ","Орел Московское шоссе, д.137, корп. 5, каб. 511 ","+7 (4862) 33-20-43",
"30","Орел ул.Силикатная, д.22 ","+7 (4862) 46-91-22",
"31","Орел ул.Силикатная, д.12 ","+7 (4862) 46-91-10",
"33","Орел ул.Маринченко, д.10","+7 (4862) 33-03-40, +7 (4862) 33-10-53",
"34","Орел ул.Маринченко, д.10","+7 (4862) 33-03-40",
"37","Орел ул.Маринченко, д.9","+7 (4862) 33-07-32",
"38","Орел ул.Рощинская, д.33","+7 (4862) 33-11-22",
"39","Орел ул.Металлургов, д.42","+7 (4862) 33-02-27",
"41","Орел ул.Маринченко, д.9","+7 (4862) 33-07-32, +7 (4862) 33-07-80",
"42","Орел ул.Маринченко, д.25","+7 (4862) 33-01-32, +7 (4862) 33-09-10",
"43","Орел ул.Рощинская, д.33","+7 (4862) 33-12-91",
"44","Орел ул.Металлургов, д.42","+7 (4862) 33-03-01",
"46","Орел ул.Маринченко, д.25 ","+7 (4862) 33-09-10",
"47","Орел ул.Блынского, д.6","+7 (4862) 33-18-92, +7 (4862) 33-32-77",
"48","Орел ул.Блынского, д.6","+7 (4862) 33-18-92",
"50","Орел ул.Блынского, д.6","8 910 200 42 50",
"51","Орел ул.Маринченко, д.9","8 910 200 42 52",
"52","Орел ул.Маринченко, д.25","+7 (4862) 33-09-10",
"ТИК ЗАВ","Орел ул.1-я Посадская, д.14, каб. 33","+7 (4862) 55-18-80, +7 (4862) 55-88-62",
"54","Орел ул.Черкасская, д.81","+7 (4862) 75-25-22",
"65","Орел ул.Комсомольская, д.182","+7 (4862) 59-18-72",
"68","Орел ул.Васильевская, д.151","+7 (4862) 72-17-31",
"69","Орел ул.Васильевская, д.151","+7 (4862) 72-17-31",
"72","Орел ул.Латышских стрелков, д.103","+7 (4862) 77-10-57",
"73","Орел ул.Комсомольская, д.182 ","+7 (4862) 59-18-72",
"74","Орел ул.Комсомольская, д.182 ","+7 (4862) 59-18-72",
"77","Орел ул.Автовокзальная, д.34","+7 (4862) 72-19-54",
"78","Орел ул.Латышских стрелков, д.105","+7 (4862) 77-57-43",
"80","Орел ул.Комсомольская, д.374 ","+7 (4862) 72-11-92",
"84","Орел ул.Планерная, д.55","+7 (4862) 74-81-06",
"85","Орел ул.Планерная, д.55","+7 (4862) 59-31-06",
"86","Орел ул.Комсомольская, д.374","+7 (4862) 72-11-92",
"89","Орел ул.Черкасская, д.81","+7 (4862) 75-25-22",
"90","Орел ул.Узловая, д.5","+7 (4862) 47-60-95, +7 (4862) 47-74-95",
"91","Орел ул.Узловая, д.5","+7 (4862) 47-60-95, +7 (4862) 47-74-95",
"95","Орел ул.Гагарина, д.35А","+7 (4862) 55-49-64",
"96","Орел ул.Маяковского, д.55","+7 (4862) 59-15-77",
"98","Орел ул.Автовокзальная, д.34","+7 (4862) 72-19-54",
"100","Орел ул.Планерная, д.55","+7 (4862) 59-31-06",
"ТИК СОВ","Орел ул.Октябрьская, д.30","+7 (4862) 43-39-23",
"103","Орел ул.Салтыкова-Щедрина, д.41","+7 (4862) 76-43-80",
"104","Орел ул.М.Горького, д.93","+7 (4862) 47-59-26",
"105","Орел ул.М.Горького, д.93","+7 (4862) 47-59-26",
"106","Орел ул.Пожарная, д.52","+7 (4862) 41-34-31",
"107","Орел ул.Пожарная, д.52","+7 (4862) 42-07-10",
"111","Орел ул.Игнатова, д.9","+7 (4862) 41-07-09",
"112","Орел ул.Игнатова, д.9","+7 (4862) 41-07-09",
"113","Орел ул.Игнатова, д.9","+7 (4862) 41-07-09",
"115","Орел ул.Матвеева, д.12","+7 (4862) 41-01-04, +7 (4862) 41-57-47",
"121","Орел ул.Трудовых резервов, д.32","+7 (4862) 76-16-02, +7 (4862) 76-19-29",
"125","Орел ул.Салтыкова-Щедрина, д.31","+7 (4862) 76-30-15",
"127","Орел ул.Тургенева, д.44а","+7 (4862) 76-27-14",
"132","Орел ул.Трудовых резервов, д.32","+7 (4862) 76-19-29",
"133","Орел ул.М. Горького, д.25","+7 (4862) 76-28-80",
"135","Орел ул.Картукова, д.8","+7 (4862) 73-69-57"
