"address","geocode"
"Орел ул.Революции, д.4","52.971933,36.08175",
"Орел ул.5 Августа, д.25","52.963027,36.093257",
"Орел пер. Трамвайный, д.1, каб. 14А","52.969975,36.086304",
"Орел ул.5 Августа, д.25","52.963027,36.093257",
"Орел ул.Пушкина, д.80","52.968239,36.090544",
"Орел ул.Пушкина, д.80","52.968239,36.090544",
"Орел пер. Южный, д.26","52.97229,36.135083",
"Орел пер. Южный, д.26","52.97229,36.135083",
"Орел ул.Орджоникидзе, д.3","52.978787,36.106408",
"Орел ул.Льва Толстого, д.6","52.99557,36.091272",
"Орел ул.Лесная, д.9","52.970777,36.110586",
"Орел Московское шоссе, д.137, корп. 5, каб. 511","53.004848,36.135559",
"Орел ул.Силикатная, д.12","53.008506,36.103058",
"Орел ул.Маринченко, д.10","53.010418,36.142485",
"Орел ул.Маринченко, д.10","53.010418,36.142485",
"Орел ул.Силикатная, д.22","53.006501,36.102528",
"Орел ул.Рощинская, д.33","53.016979,36.14421",
"Орел ул.Маринченко, д.9","53.008034,36.140365",
"Орел ул.Металлургов, д.42","53.015755,36.143132",
"Орел ул.Маринченко, д.9","53.008034,36.140365",
"Орел ул.Маринченко, д.25","53.011263,36.133268",
"Орел ул.Блынского, д.6","53.000226,36.129037",
"Орел ул.Рощинская, д.33","53.016979,36.14421",
"Орел ул.Металлургов, д.42","53.015755,36.143132",
"Орел ул.Маринченко, д.25","53.011263,36.133268",
"Орел ул.Маринченко, д.25","53.011263,36.133268",
"Орел ул.Блынского, д.6","53.000226,36.129037",
"Орел ул.Черкасская, д.81","52.954147,36.078875",
"Орел ул.Блынского, д.6","53.000226,36.129037",
"Орел ул.Маринченко, д.9","53.008034,36.140365",
"Орел ул.1-я Посадская, д.14, каб. 33","52.959615,36.063559",
"Орел ул.Васильевская, д.151","52.9487,36.038568",
"Орел ул.Латышских стрелков, д.103","52.94049,36.041352",
"Орел ул.Комсомольская, д.182","52.94444,36.053507",
"Орел ул.Васильевская, д.151","52.9487,36.038568",
"Орел ул.Комсомольская, д.182","52.94444,36.053507",
"Орел ул.Автовокзальная, д.34","52.933054,36.038972",
"Орел ул.Комсомольская, д.182","52.94444,36.053507",
"Орел ул.Планерная, д.55","52.927116,36.015202",
"Орел ул.Комсомольская, д.374","52.92888,36.024231",
"Орел ул.Латышских стрелков, д.105","52.93865,36.037741",
"Орел ул.Черкасская, д.81","52.954147,36.078875",
"Орел ул.Планерная, д.55","52.927116,36.015202",
"Орел ул.Комсомольская, д.374","52.92888,36.024231",
"Орел ул.Узловая, д.5","52.93471,36.089808",
"Орел ул.Автовокзальная, д.34","52.933054,36.038972",
"Орел ул.Узловая, д.5","52.93471,36.089808",
"Орел ул.Гагарина, д.35А","52.959149,36.072946",
"Орел ул.Планерная, д.55","52.927116,36.015202",
"Орел ул.Маяковского, д.55","52.954722,36.070664",
"Орел ул.Октябрьская, д.30","52.973825,36.06143",
"Орел ул.М.Горького, д.93","52.983097,36.078875",
"Орел ул.Салтыкова-Щедрина, д.41","52.976113,36.066568",
"Орел ул.Пожарная, д.52","52.981855,36.084085",
"Орел ул.Пожарная, д.52","52.981855,36.084085",
"Орел ул.М.Горького, д.93","52.983097,36.078875",
"Орел ул.Трудовых резервов, д.32","52.966211,36.03386",
"Орел ул.Салтыкова-Щедрина, д.31","52.970859,36.060513",
"Орел ул.Игнатова, д.9","52.987629,36.069236",
"Орел ул.Матвеева, д.12","52.987781,36.063738",
"Орел ул.Игнатова, д.9","52.987629,36.069236",
"Орел ул.Игнатова, д.9","52.987629,36.069236",
"Орел ул.Картукова, д.8","52.992941,36.041784",
"Орел ул.Тургенева, д.44а","52.97228,36.051405",
"Орел ул.Трудовых резервов, д.32","52.966211,36.03386",
"Орел ул.М. Горького, д.25","52.968928,36.060334"
